,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
1612,CS,6805,1612,0.901853871,0.911123228,0.906761178,0.906579426
916,CS,6805,916,0.910032715,0.911123228,0.909487459,0.910214467
2271,CS,6805,2271,0.90785169,0.91221374,0.908942203,0.909669211
5168,CS,6805,5168,0.905670665,0.90785169,0.904034896,0.905852417
6339,CS,6805,6339,0.906215921,0.905125409,0.91221374,0.90785169
5466,CS,6805,5466,0.911123228,0.914394766,0.910032715,0.911850236
8294,CS,6805,8294,0.891761293,0.725794138,0.901311451,0.839622294
6107,CS,6805,6107,0.92693566,0.916575791,0.914394766,0.919302072
3904,CS,6805,3904,0.917121047,0.909487459,0.911668484,0.912758997
1980,CS,6805,1980,0.919847328,0.908396947,0.908942203,0.912395493
8075,CS,6805,8075,0.894424517,0.752423232,0.902763817,0.849870522
3750,CS,6805,3750,0.908942203,0.914394766,0.908942203,0.910759724
207,CS,6805,207,0.905125409,0.912758997,0.910577972,0.909487459
1472,CS,6805,1472,0.910032715,0.90785169,0.910577972,0.909487459
4982,CS,6805,4982,0.909487459,0.911668484,0.914940022,0.912031988
1234,CS,6805,1234,0.90348964,0.913849509,0.910032715,0.909123955
1084,CS,6805,1084,0.901853871,0.908942203,0.908396947,0.906397674
8126,CS,6805,8126,0.893804314,0.746221936,0.902425595,0.847483948
5273,CS,6805,5273,0.909487459,0.900763359,0.910577972,0.90694293
4305,CS,6805,4305,0.904580153,0.914940022,0.919847328,0.913122501
2384,CS,6805,2384,0.914394766,0.90785169,0.915485278,0.912577245
7678,CS,6805,7678,0.89925237,0.800696065,0.905396645,0.86844836
1674,CS,6805,1674,0.916030534,0.906761178,0.901853871,0.908215194
3351,CS,6805,3351,0.910577972,0.908396947,0.904034896,0.907669938
442,CS,6805,442,0.908396947,0.908942203,0.915485278,0.910941476
2427,CS,6805,2427,0.908942203,0.905125409,0.911668484,0.908578699
1506,CS,6805,1506,0.906215921,0.912758997,0.90348964,0.907488186
5465,CS,6805,5465,0.907306434,0.911668484,0.900218103,0.906397674
436,CS,6805,436,0.904580153,0.915485278,0.907306434,0.909123955
4009,CS,6805,4009,0.916575791,0.920392585,0.910577972,0.915848782
976,CS,6805,976,0.913304253,0.906761178,0.902399128,0.907488186
2076,CS,6805,2076,0.919847328,0.911123228,0.912758997,0.914576518
5976,CS,6805,5976,0.91221374,0.918211559,0.90785169,0.912758997
7518,CS,6805,7518,0.901198104,0.820151111,0.906457734,0.87593565
2560,CS,6805,2560,0.91221374,0.904580153,0.91221374,0.909669211
4440,CS,6805,4440,0.907306434,0.906761178,0.90785169,0.907306434
8377,CS,6805,8377,0.890751943,0.715701832,0.900761011,0.835738262
2026,CS,6805,2026,0.901853871,0.911668484,0.902944384,0.905488913
1545,CS,6805,1545,0.908396947,0.906215921,0.90348964,0.906034169
4245,CS,6805,4245,0.91221374,0.908396947,0.911123228,0.910577972
1979,CS,6805,1979,0.910577972,0.911123228,0.913304253,0.911668484
8077,CS,6805,8077,0.894400195,0.752180044,0.902750554,0.849776931
2383,CS,6805,2383,0.913304253,0.913849509,0.910577972,0.912577245
260,CS,6805,260,0.914940022,0.914394766,0.911668484,0.913667757
1575,CS,6805,1575,0.90785169,0.906761178,0.916030534,0.910214467
4088,CS,6805,4088,0.910577972,0.904034896,0.905670665,0.906761178
6028,CS,6805,6028,0.916030534,0.914394766,0.918211559,0.916212286
8061,CS,6805,8061,0.894594769,0.754125548,0.902856663,0.85052566
8394,CS,6805,8394,0.890545209,0.713634734,0.900648271,0.834942738
7366,CS,6805,7366,0.903046552,0.838633405,0.907465769,0.883048575
766,CS,6805,766,0.910032715,0.910032715,0.911668484,0.910577972
7707,CS,6805,7707,0.898899706,0.797169838,0.905204323,0.867091289
5068,CS,6805,5068,0.918211559,0.90785169,0.913849509,0.913304253
1158,CS,6805,1158,0.913849509,0.915485278,0.914394766,0.914576518
751,CS,6805,751,0.910032715,0.902944384,0.906215921,0.906397674
2313,CS,6805,2313,0.913849509,0.906761178,0.910577972,0.91039622
5163,CS,6805,5163,0.91221374,0.916030534,0.909487459,0.912577245
7500,CS,6805,7500,0.901416999,0.822339804,0.906577107,0.87677797
1613,CS,6805,1613,0.913304253,0.907306434,0.907306434,0.909305707
1073,CS,6805,1073,0.910032715,0.91221374,0.905125409,0.909123955
4416,CS,6805,4416,0.910032715,0.906761178,0.910032715,0.908942203
4411,CS,6805,4411,0.910032715,0.906215921,0.918211559,0.911486732
3955,CS,6805,3955,0.906215921,0.904580153,0.913849509,0.908215194
105,CS,6805,105,0.90348964,0.914394766,0.904580153,0.907488186
3533,CS,6805,3533,0.914940022,0.907306434,0.910577972,0.910941476
2284,CS,6805,2284,0.91221374,0.911123228,0.91221374,0.911850236
8124,CS,6805,8124,0.893828636,0.746465124,0.902438859,0.847577539
1021,CS,6805,1021,0.918211559,0.922028353,0.908396947,0.916212286
266,CS,6805,266,0.911123228,0.908942203,0.910032715,0.910032715
3313,CS,6805,3313,0.916030534,0.904034896,0.906761178,0.908942203
4389,CS,6805,4389,0.924754635,0.911668484,0.911123228,0.915848782
4994,CS,6805,4994,0.90348964,0.908396947,0.904580153,0.905488913
8180,CS,6805,8180,0.893147629,0.739655858,0.902067477,0.844956988
7380,CS,6805,7380,0.9028763,0.836931088,0.907372924,0.882393437
654,CS,6805,654,0.917121047,0.910032715,0.908942203,0.912031988
1951,CS,6805,1951,0.91221374,0.904580153,0.91221374,0.909669211
4431,CS,6805,4431,0.915485278,0.907306434,0.910032715,0.910941476
6230,CS,6805,6230,0.90785169,0.906761178,0.908396947,0.907669938
5656,CS,6805,5656,0.904580153,0.90785169,0.915485278,0.909305707
954,CS,6805,954,0.91221374,0.905670665,0.902944384,0.90694293
2404,CS,6805,2404,0.907306434,0.916575791,0.917121047,0.913667757
1735,CS,6805,1735,0.906215921,0.911123228,0.911668484,0.909669211
4788,CS,6805,4788,0.908396947,0.909487459,0.909487459,0.909123955
6628,CS,6805,6628,0.91221374,0.906761178,0.908396947,0.909123955
7527,CS,6805,7527,0.901088657,0.819056765,0.906398048,0.87551449
5979,CS,6805,5979,0.904034896,0.907306434,0.915485278,0.908942203
