,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
10,WikiCS,300,10,0.700256191,0.722459436,0.730145175,0.717620268
95,WikiCS,300,95,0.719897523,0.731853117,0.718189582,0.723313407
237,WikiCS,300,237,0.721605465,0.720751494,0.719897523,0.720751494
178,WikiCS,300,178,0.708795901,0.73441503,0.729291204,0.724167378
101,WikiCS,300,101,0.724167378,0.726729291,0.72587532,0.725590663
185,WikiCS,300,185,0.704526046,0.72587532,0.719043553,0.71648164
251,WikiCS,300,251,0.713919727,0.719043553,0.69940222,0.7107885
286,WikiCS,300,286,0.711357814,0.701110162,0.71648164,0.709649872
165,WikiCS,300,165,0.721605465,0.691716482,0.741246798,0.718189582
53,WikiCS,300,53,0.70794193,0.708795901,0.730999146,0.715912326
233,WikiCS,300,233,0.714773698,0.705380017,0.719043553,0.713065756
203,WikiCS,300,203,0.72587532,0.69940222,0.724167378,0.71648164
68,WikiCS,300,68,0.712211785,0.719897523,0.719043553,0.717050954
244,WikiCS,300,244,0.712211785,0.712211785,0.72587532,0.716766297
252,WikiCS,300,252,0.721605465,0.712211785,0.715627669,0.71648164
106,WikiCS,300,106,0.737830914,0.711357814,0.680614859,0.709934529
71,WikiCS,300,71,0.714773698,0.721605465,0.71648164,0.717620268
221,WikiCS,300,221,0.700256191,0.720751494,0.722459436,0.714489041
268,WikiCS,300,268,0.704526046,0.721605465,0.736976943,0.721036151
102,WikiCS,300,102,0.707087959,0.727583262,0.711357814,0.715343012
294,WikiCS,300,294,0.746370623,0.706233988,0.707087959,0.719897523
177,WikiCS,300,177,0.720751494,0.719043553,0.727583262,0.722459436
25,WikiCS,300,25,0.69940222,0.695986336,0.722459436,0.705949331
63,WikiCS,300,63,0.696840307,0.724167378,0.722459436,0.714489041
238,WikiCS,300,238,0.683176772,0.711357814,0.701964133,0.698832906
74,WikiCS,300,74,0.726729291,0.712211785,0.720751494,0.719897523
298,WikiCS,300,298,0.713919727,0.72587532,0.711357814,0.717050954
218,WikiCS,300,218,0.736976943,0.717335611,0.723313407,0.72587532
229,WikiCS,300,229,0.713919727,0.719043553,0.702818104,0.711927128
258,WikiCS,300,258,0.722459436,0.720751494,0.688300598,0.710503843
121,WikiCS,300,121,0.704526046,0.701964133,0.714773698,0.707087959
289,WikiCS,300,289,0.727583262,0.735269001,0.70794193,0.723598064
123,WikiCS,300,123,0.736122972,0.721605465,0.733561059,0.730429832
235,WikiCS,300,235,0.70794193,0.736122972,0.707087959,0.717050954
217,WikiCS,300,217,0.695132365,0.719043553,0.722459436,0.712211785
184,WikiCS,300,184,0.732707088,0.722459436,0.723313407,0.726159977
279,WikiCS,300,279,0.69940222,0.713919727,0.706233988,0.706518645
202,WikiCS,300,202,0.742100769,0.701110162,0.713919727,0.719043553
48,WikiCS,300,48,0.753202391,0.737830914,0.746370623,0.745801309
23,WikiCS,300,23,0.719043553,0.724167378,0.743808711,0.729006547
40,WikiCS,300,40,0.721605465,0.746370623,0.710503843,0.726159977
62,WikiCS,300,62,0.713919727,0.740392827,0.698548249,0.717620268
80,WikiCS,300,80,0.725021349,0.714773698,0.713065756,0.717620268
122,WikiCS,300,122,0.700256191,0.718189582,0.703672075,0.707372616
149,WikiCS,300,149,0.721605465,0.732707088,0.715627669,0.723313407
173,WikiCS,300,173,0.721605465,0.722459436,0.69940222,0.714489041
27,WikiCS,300,27,0.703672075,0.725021349,0.745516652,0.724736692
188,WikiCS,300,188,0.69940222,0.727583262,0.713919727,0.71363507
176,WikiCS,300,176,0.71648164,0.712211785,0.713065756,0.713919727
105,WikiCS,300,105,0.727583262,0.729291204,0.728437233,0.728437233
247,WikiCS,300,247,0.728437233,0.708795901,0.695132365,0.7107885
55,WikiCS,300,55,0.692570453,0.703672075,0.722459436,0.706233988
72,WikiCS,300,72,0.717335611,0.697694278,0.735269001,0.716766297
281,WikiCS,300,281,0.736976943,0.702818104,0.73441503,0.724736692
54,WikiCS,300,54,0.721605465,0.685738685,0.729291204,0.712211785
291,WikiCS,300,291,0.722459436,0.742100769,0.72587532,0.730145175
87,WikiCS,300,87,0.719897523,0.713065756,0.722459436,0.718474239
112,WikiCS,300,112,0.720751494,0.729291204,0.713065756,0.721036151
5,WikiCS,300,5,0.707087959,0.724167378,0.711357814,0.714204384
245,WikiCS,300,245,0.731853117,0.704526046,0.721605465,0.71932821
59,WikiCS,300,59,0.701110162,0.717335611,0.711357814,0.709934529
109,WikiCS,300,109,0.719897523,0.710503843,0.715627669,0.715343012
183,WikiCS,300,183,0.707087959,0.736122972,0.711357814,0.718189582
186,WikiCS,300,186,0.692570453,0.705380017,0.724167378,0.707372616
160,WikiCS,300,160,0.71648164,0.736122972,0.718189582,0.723598064
261,WikiCS,300,261,0.747224594,0.728437233,0.724167378,0.733276402
225,WikiCS,300,225,0.713919727,0.700256191,0.719897523,0.711357814
32,WikiCS,300,32,0.698548249,0.710503843,0.719043553,0.709365215
263,WikiCS,300,263,0.719897523,0.707087959,0.707087959,0.711357814
99,WikiCS,300,99,0.730145175,0.711357814,0.707087959,0.716196983
187,WikiCS,300,187,0.713919727,0.712211785,0.732707088,0.719612866
198,WikiCS,300,198,0.714773698,0.737830914,0.735269001,0.729291204
191,WikiCS,300,191,0.719897523,0.723313407,0.724167378,0.722459436
163,WikiCS,300,163,0.715627669,0.705380017,0.717335611,0.712781099
210,WikiCS,300,210,0.719897523,0.727583262,0.731853117,0.726444634
12,WikiCS,300,12,0.723313407,0.702818104,0.724167378,0.716766297
156,WikiCS,300,156,0.717335611,0.732707088,0.730145175,0.726729291
288,WikiCS,300,288,0.736122972,0.69000854,0.728437233,0.718189582
115,WikiCS,300,115,0.719043553,0.684884714,0.725021349,0.709649872
146,WikiCS,300,146,0.71648164,0.710503843,0.695986336,0.707657273
19,WikiCS,300,19,0.730999146,0.715627669,0.724167378,0.723598064
114,WikiCS,300,114,0.704526046,0.701110162,0.70794193,0.704526046
222,WikiCS,300,222,0.731853117,0.71648164,0.70794193,0.718758896
196,WikiCS,300,196,0.730145175,0.72587532,0.741246798,0.732422431
174,WikiCS,300,174,0.740392827,0.736122972,0.701964133,0.726159977
73,WikiCS,300,73,0.712211785,0.694278395,0.730999146,0.712496442
7,WikiCS,300,7,0.70794193,0.678906917,0.725021349,0.703956732
142,WikiCS,300,142,0.700256191,0.701964133,0.694278395,0.698832906
239,WikiCS,300,239,0.745516652,0.713065756,0.729291204,0.729291204
273,WikiCS,300,273,0.700256191,0.695986336,0.698548249,0.698263592
130,WikiCS,300,130,0.701964133,0.701964133,0.701964133,0.701964133
138,WikiCS,300,138,0.709649872,0.710503843,0.674637062,0.698263592
205,WikiCS,300,205,0.720751494,0.700256191,0.722459436,0.714489041
43,WikiCS,300,43,0.686592656,0.701964133,0.723313407,0.703956732
147,WikiCS,300,147,0.707087959,0.701110162,0.731853117,0.713350413
248,WikiCS,300,248,0.714773698,0.704526046,0.71648164,0.711927128
2,WikiCS,300,2,0.711357814,0.729291204,0.708795901,0.71648164
226,WikiCS,300,226,0.724167378,0.708795901,0.727583262,0.72018218
137,WikiCS,300,137,0.702818104,0.711357814,0.721605465,0.711927128
249,WikiCS,300,249,0.706233988,0.703672075,0.715627669,0.708511244
275,WikiCS,300,275,0.707087959,0.739538856,0.717335611,0.721320808
66,WikiCS,300,66,0.709649872,0.727583262,0.700256191,0.712496442
70,WikiCS,300,70,0.704526046,0.69940222,0.722459436,0.708795901
214,WikiCS,300,214,0.685738685,0.729291204,0.717335611,0.7107885
182,WikiCS,300,182,0.695986336,0.714773698,0.744662681,0.718474239
56,WikiCS,300,56,0.718189582,0.697694278,0.722459436,0.712781099
38,WikiCS,300,38,0.736122972,0.731853117,0.712211785,0.726729291
16,WikiCS,300,16,0.722459436,0.704526046,0.72587532,0.717620268
