,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
663,Photo,745,663,0.907189542,0.907189542,0.916339869,0.910239651
475,Photo,745,475,0.898039216,0.91372549,0.930718954,0.91416122
472,Photo,745,472,0.899346405,0.907189542,0.898039216,0.901525054
621,Photo,745,621,0.921568627,0.91503268,0.91503268,0.917211329
353,Photo,745,353,0.917647059,0.909803922,0.904575163,0.910675381
208,Photo,745,208,0.899346405,0.905882353,0.920261438,0.908496732
83,Photo,745,83,0.896732026,0.912418301,0.909803922,0.906318083
504,Photo,745,504,0.903267974,0.907189542,0.904575163,0.905010893
487,Photo,745,487,0.912418301,0.912418301,0.907189542,0.910675381
242,Photo,745,242,0.905882353,0.907189542,0.91503268,0.909368192
209,Photo,745,209,0.909803922,0.920261438,0.908496732,0.912854031
8,Photo,745,8,0.91503268,0.907189542,0.905882353,0.909368192
508,Photo,745,508,0.91503268,0.901960784,0.922875817,0.91328976
206,Photo,745,206,0.916339869,0.91372549,0.920261438,0.916775599
685,Photo,745,685,0.903267974,0.905882353,0.905882353,0.905010893
376,Photo,745,376,0.907189542,0.908496732,0.909803922,0.908496732
162,Photo,745,162,0.909803922,0.905882353,0.918954248,0.911546841
666,Photo,745,666,0.924183007,0.907189542,0.907189542,0.912854031
557,Photo,745,557,0.924183007,0.91372549,0.907189542,0.91503268
413,Photo,745,413,0.91503268,0.900653595,0.908496732,0.908061002
111,Photo,745,111,0.912418301,0.91503268,0.909803922,0.912418301
355,Photo,745,355,0.916339869,0.894117647,0.916339869,0.908932462
438,Photo,745,438,0.907189542,0.925490196,0.907189542,0.91328976
646,Photo,745,646,0.905882353,0.91503268,0.908496732,0.909803922
233,Photo,745,233,0.905882353,0.903267974,0.905882353,0.905010893
326,Photo,745,326,0.912418301,0.908496732,0.905882353,0.908932462
552,Photo,745,552,0.929411765,0.899346405,0.905882353,0.911546841
645,Photo,745,645,0.921568627,0.909803922,0.907189542,0.912854031
