,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
140,Actor,932,140,0.2723684210526316,0.2723684210526316,0.26973684210526316,0.27149122807017545
914,Actor,932,914,0.2723684210526316,0.2776315789473684,0.2644736842105263,0.27149122807017545
399,Actor,932,399,0.2776315789473684,0.2723684210526316,0.2644736842105263,0.27149122807017545
98,Actor,932,98,0.275,0.26710526315789473,0.2723684210526316,0.27149122807017545
200,Actor,932,200,0.2618421052631579,0.2802631578947368,0.2736842105263158,0.27192982456140347
283,Actor,932,283,0.2776315789473684,0.2776315789473684,0.26052631578947366,0.27192982456140347
820,Actor,932,820,0.2789473684210526,0.2736842105263158,0.2631578947368421,0.27192982456140347
797,Actor,932,797,0.28157894736842104,0.2723684210526316,0.2618421052631579,0.2719298245614035
6,Actor,932,6,0.2618421052631579,0.2789473684210526,0.275,0.2719298245614035
554,Actor,932,554,0.2736842105263158,0.2881578947368421,0.25394736842105264,0.2719298245614035
484,Actor,932,484,0.2631578947368421,0.2723684210526316,0.28157894736842104,0.27236842105263154
323,Actor,932,323,0.27631578947368424,0.275,0.2657894736842105,0.2723684210526316
174,Actor,932,174,0.2723684210526316,0.26710526315789473,0.2776315789473684,0.2723684210526316
226,Actor,932,226,0.2723684210526316,0.2644736842105263,0.28157894736842104,0.27280701754385966
457,Actor,932,457,0.28421052631578947,0.26842105263157895,0.2657894736842105,0.27280701754385966
584,Actor,932,584,0.2710526315789474,0.2736842105263158,0.2736842105263158,0.27280701754385966
450,Actor,932,450,0.26710526315789473,0.28289473684210525,0.26842105263157895,0.27280701754385966
180,Actor,932,180,0.2789473684210526,0.26842105263157895,0.2710526315789474,0.27280701754385966
432,Actor,932,432,0.25394736842105264,0.28157894736842104,0.28421052631578947,0.2732456140350877
552,Actor,932,552,0.25921052631578945,0.28157894736842104,0.2789473684210526,0.2732456140350877
789,Actor,932,789,0.275,0.2723684210526316,0.2723684210526316,0.27324561403508774
541,Actor,932,541,0.26710526315789473,0.2776315789473684,0.275,0.27324561403508774
388,Actor,932,388,0.26973684210526316,0.2631578947368421,0.2868421052631579,0.27324561403508774
456,Actor,932,456,0.28289473684210525,0.2644736842105263,0.2736842105263158,0.27368421052631575
373,Actor,932,373,0.29605263157894735,0.25921052631578945,0.2657894736842105,0.27368421052631575
729,Actor,932,729,0.2736842105263158,0.2736842105263158,0.2736842105263158,0.2736842105263158
913,Actor,932,913,0.2723684210526316,0.28289473684210525,0.2657894736842105,0.2736842105263158
151,Actor,932,151,0.2776315789473684,0.2723684210526316,0.2710526315789474,0.2736842105263158
751,Actor,932,751,0.2723684210526316,0.2802631578947368,0.26973684210526316,0.2741228070175438
228,Actor,932,228,0.2736842105263158,0.2789473684210526,0.26973684210526316,0.2741228070175438
264,Actor,932,264,0.26973684210526316,0.2710526315789474,0.28157894736842104,0.2741228070175438
483,Actor,932,483,0.26710526315789473,0.2802631578947368,0.275,0.2741228070175438
587,Actor,932,587,0.26710526315789473,0.2802631578947368,0.275,0.2741228070175438
434,Actor,932,434,0.2802631578947368,0.28157894736842104,0.26052631578947366,0.2741228070175439
